ListPrice,SalePrice,Age,Living,Lot,Tax,Bathrooms,Bedrooms,Garage,Story,CitySewer,eastUS1,Pool
410000,387000,44,2028,6300,4633,2,4,1,1,no,yes,no
415000,386500,77,2031,5000,2770,3,4,0,1,yes,no,no
435000,415000,52,2043,9459,4254,2,3,0,1,no,no,no
525000,460000,55,2043,10100,4775,2,3,1,1,no,no,no
478000,478000,53,2045,10000,5489,3,3,1,1,yes,no,yes
399000,375000,52,2047,10500,4416,2,3,0,1,no,no,no
499000,450000,50,2054,10000,5206,2,3,2,1,no,yes,yes
459500,435000,43,2061,9500,3820,3,4,2,1,no,no,no
499000,499000,8,2062,5000,4910,3,3,0,1,no,no,no
449000,445000,46,2069,6250,5499,2,3,1,1,yes,yes,no
489000,485000,43,2070,8000,4812,2,3,1,1,no,yes,no
429000,405000,79,2075,7500,5500,2,3,0,1,no,no,no
329000,329000,25,2076,6240,3257,2,3,1,1,yes,no,no
570000,575000,51,2077,12500,6589,2,3,1,1,no,no,no
480000,470000,52,2081,11400,4658,2,3,1,2,no,no,no
460000,460000,45,2100,7810,3995,2,3,2,1,no,yes,no
499000,495000,47,2102,11000,4968,2,4,2,1,no,yes,no
399000,445000,33,2111,10000,4488,2,3,2,1,yes,yes,no
419000,403000,75,2113,6002,3904,3,4,0,1,no,no,no
468500,450000,48,2121,10000,5583,3,3,2,1,no,yes,no
449000,435000,45,2125,6500,3991,3,3,2,2,no,no,no
419000,407500,48,2126,10000,5496,2,3,2,1,yes,yes,yes
375000,375000,34,2131,6350,4962,3,3,2,2,yes,no,no
439000,430000,56,2138,10250,4129,3,3,2,1,no,no,no
399000,350000,48,2142,10000,4463,2,3,2,1,no,no,no
459900,450000,49,2145,7500,4436,3,4,1,1,no,no,no
304900,302000,33,2146,7350,3240,2,3,2,1,no,no,no
359900,315000,34,2150,5350,2904,3,3,0,2,no,no,no
399000,370000,50,2153,10000,4157,2,3,1,1,no,no,no
389900,362000,43,2173,10000,4939,2,2,2,1,yes,yes,no
362000,362000,51,2186,11286,6857,3,4,0,1,yes,no,yes
549000,520000,51,2200,15750,5930,2,4,2,1,no,no,no
510000,497500,53,2201,15716,6648,3,3,1,1,no,yes,yes
419000,417000,76,2203,6355,3977,3,4,0,1,no,no,no
450000,405000,37,2207,6250,5129,2,3,2,1,no,no,no
529000,529000,12,2209,5580,3736,4,4,2,2,no,no,no
650000,620000,76,2215,9200,4469,3,3,0,2,no,yes,yes
459500,430000,47,2218,9500,3669,2,3,1,1,no,yes,no
549000,515000,44,2219,11900,7762,2,3,2,1,yes,yes,yes
439900,430000,77,2220,4800,4585,3,3,1,2,yes,no,no
360000,342000,51,2221,12000,2880,3,3,2,1,yes,no,no
625000,624000,15,2223,5500,5402,3,4,1,2,no,yes,no
1100000,985000,44,2223,13000,8814,3,4,2,1,no,yes,yes
549000,525000,52,2224,10500,5680,2,3,2,1,no,no,yes
595000,563000,45,2226,12100,9132,2,3,2,1,yes,yes,yes
425000,420000,77,2234,5650,4561,2,3,1,1,no,no,no
429000,426000,49,2236,12500,5088,2,3,0,1,no,no,no
449900,390000,43,2237,10830,5062,3,3,2,1,yes,yes,yes
595000,570000,0,2238,5000,2012,3,3,1,2,no,no,no
335000,285000,76,2240,5820,3583,2,3,1,1,no,no,no
699000,645000,4,2240,5000,6696,3,3,2,2,yes,no,yes
450000,460000,62,2242,13520,4775,3,3,1,1,no,no,no
449000,435000,51,2247,7500,4852,3,3,1,1,no,yes,no
550000,550000,49,2258,11114,5751,2,3,2,1,no,yes,no
450000,435000,39,2261,6250,3999,2,3,1,1,yes,no,no
450000,420000,47,2264,10000,6427,2,3,1,1,no,yes,yes
495000,450000,55,2277,12500,5584,2,4,0,1,no,no,no
349000,330000,31,2280,6350,3497,4,3,0,2,no,no,no
389900,357090,70,2280,11300,4085,2,3,1,1,yes,no,no
539000,525000,77,2286,6250,5422,2,3,1,1,yes,no,no
519000,510000,18,2290,5159,4298,3,4,1,2,no,yes,no
599000,599000,77,2298,8363,4218,2,3,0,2,no,no,no
549000,535000,49,2304,9400,4994,3,4,1,1,no,yes,yes
520000,520000,47,2309,12500,5171,2,3,2,1,no,no,no
549000,546000,48,2309,9200,5218,2,3,2,1,yes,yes,no
498500,485000,45,2314,11500,4337,3,4,1,1,yes,no,yes
789000,750000,66,2316,12500,7314,2,3,2,1,yes,no,no
530000,500000,44,2317,9500,5750,2,3,2,1,yes,no,no
449000,418000,47,2320,8000,5501,4,4,1,1,no,no,no
1115000,1035000,44,2333,14000,14783,3,4,2,1,yes,yes,yes
499000,476000,31,2334,7500,3496,2,3,1,1,no,no,no
450000,435000,14,2340,5000,4105,3,3,1,2,no,yes,no
408000,402000,53,2342,7500,5600,3,3,1,1,no,no,yes
499000,455000,77,2357,6600,5700,3,4,0,2,no,no,no
719000,689000,77,2364,14000,9180,3,3,1,1,yes,yes,yes
549000,539000,49,2369,10000,5570,2,3,2,1,no,yes,yes
685000,650000,76,2369,12500,5576,3,5,1,2,no,no,no
479000,480000,35,2371,10000,5271,3,3,1,1,yes,no,no
690000,675000,45,2371,9500,5440,3,3,2,1,no,yes,yes
